run_id,ts_utc,prompt_label,audience,numeric_grounding,disclaimer_compliance,stakeholder_fit,conciseness,review_rationale,qc_score,agent3_chars
d94ab936,2026-05-17T02:28:14+00:00,B_minimal,retail,0.542,1,4,5,"The briefing uses mostly plain language appropriate for a retail audience and is very brief, though occasional trading jargon prevents a perfect fit.",0.909,455
82db5245,2026-05-17T02:29:48+00:00,B_minimal,retail,0.591,1,4,5,"The brief uses plain, retail‑friendly terms without excessive jargon and stays tight, delivering its points in just a few sentences.",0.909,562
2895623e,2026-05-17T02:30:44+00:00,B_minimal,retail,0.591,1,3,4,"The language is moderately technical for a retail audience, though clear, and the briefing is brief and information-dense.",0.909,558
67af12d2,2026-05-17T02:31:44+00:00,B_minimal,retail,0.571,1,2,4,"The brief uses specialist crypto trading jargon that a retail audience may not grasp, but it is short and to the point with little fluff.",0.909,650
936552f4,2026-05-17T02:32:43+00:00,B_minimal,retail,0.542,1,2,4,"The briefing uses specialist crypto trading jargon that limits retail comprehension, but its length and focus are relatively tight.",0.909,667
a3891a1b,2026-05-17T02:33:41+00:00,B_minimal,retail,0.684,1,2,5,"The language is overly technical for a retail audience, but the briefing is short and every sentence adds value.",1.0,606
50ddc706,2026-05-17T02:34:45+00:00,B_minimal,retail,0.65,1,3,4,"The wording is generally understandable but not perfectly tuned to a retail audience, and the briefing is short and to the point.",1.0,552
f7416130,2026-05-17T02:35:28+00:00,B_minimal,retail,0.545,1,2,4,"The briefing uses technical jargon and metrics that exceed typical retail language, yet it is brief and each sentence conveys substantive information.",0.909,649
ed41a3de,2026-05-17T02:36:28+00:00,B_minimal,retail,0.684,1,2,4,"The language is too technical for a retail audience, though the briefing is fairly tight and information‑dense.",1.0,691
a40cf3a0,2026-05-17T02:37:40+00:00,B_minimal,retail,0.632,1,2,4,"The language is still technical and jargon‑laden for a retail audience (low fit), but the brief is compact and each sentence carries meaning (fairly concise).",1.0,649
5d75dde2,2026-05-17T02:38:47+00:00,B_minimal,retail,0.632,1,2,5,"The brief uses trader‑centric jargon that a typical retail audience would find opaque, but it conveys its points in a tight, filler‑free manner.",1.0,575
4d0d3b8f,2026-05-17T02:40:05+00:00,B_minimal,retail,0.667,1,2,4,"The briefing is packed with trader‑centric jargon that overwhelms a retail audience, but it conveys its points in a compact, mostly filler‑free manner.",1.0,689
a4f0ff36,2026-05-17T02:41:14+00:00,B_minimal,retail,0.5,1,4,5,"The language is mostly plain and appropriate for retail readers, with only minor trading jargon, and the briefing is extremely brief and information‑dense.",0.909,479
8519134a,2026-05-17T02:42:20+00:00,B_minimal,retail,0.6,1,3,4,"The language includes some technical crypto terms that are borderline for a retail audience, but the brief is short and each sentence is information‑dense.",1.0,525
0f2a6f42,2026-05-17T02:43:13+00:00,B_minimal,retail,0.545,1,3,4,"The brief uses some specialist trading terms that are borderline for a retail audience, but it stays brief and focused without unnecessary filler.",0.909,603
cddb1709,2026-05-17T02:44:25+00:00,B_minimal,retail,0.619,1,2,4,"The brief uses technical trading jargon (e.g., candles, order‑book) that is not well‑suited for a retail audience, while its bullet‑point format keeps the content brief and focused.",1.0,673
11d822ae,2026-05-17T02:45:35+00:00,C_verbose,retail,0.524,1,4,3,"The brief translates technical metrics into retail‑friendly analogies, fitting the audience well, but its length and detailed data sections keep it only moderately concise.",0.909,5823
0ecc85d3,2026-05-17T02:46:54+00:00,C_verbose,retail,0.522,1,2,2,"The briefing is heavy with technical jargon and lengthy explanations that exceed what a retail audience needs, making it both poorly matched and overly verbose.",0.909,4408
d45faa80,2026-05-17T02:48:10+00:00,C_verbose,retail,0.667,1,4,3,"It translates technical data into understandable language for retail investors, yet its extensive detail and length keep it from being highly concise.",1.0,6277
312b7cd6,2026-05-17T02:49:48+00:00,C_verbose,retail,0.609,1,3,4,"The briefing uses some technical jargon (candles, volatility thresholds) that a retail audience may find borderline, but the structure is clear and largely concise, with each sentence bearing relevant information.",1.0,4240
5c91d52b,2026-05-17T02:51:07+00:00,C_verbose,retail,0.545,1,4,3,"The briefing uses clear, non‑technical explanations suitable for retail readers, but its length and detail make it only modestly concise.",0.909,5673
69ac4026,2026-05-17T02:52:27+00:00,C_verbose,retail,0.632,1,3,3,"The briefing translates technical metrics into understandable analogies for retail readers, achieving acceptable audience fit, but its length and detail result in only moderate conciseness.",1.0,4794
90deb53b,2026-05-17T02:53:39+00:00,C_verbose,retail,0.684,1,4,3,"The briefing uses mostly plain language appropriate for retail readers but includes some technical jargon, and while succinct for its depth, it contains extra explanatory sections that keep it from being maximally concise.",1.0,4492
72ba5afe,2026-05-17T02:55:01+00:00,C_verbose,retail,0.542,1,3,2,"The briefing uses moderately technical market‑jargon that a retail audience can partly follow but isn’t fully tailored, and its length and repeated explanations make it more verbose than necessary.",0.909,5742
c638e610,2026-05-17T02:56:16+00:00,C_verbose,retail,0.6,1,3,3,"The briefing explains technical crypto metrics in plain language for a retail audience, but its length, tables, and jargon keep it only acceptably tailored and moderately concise.",1.0,5180
2261335c,2026-05-17T02:57:42+00:00,C_verbose,retail,0.522,1,2,2,The briefing uses many technical terms and detailed metrics that exceed typical retail expectations and is overly long with redundant explanations.,0.909,6529
c70c4748,2026-05-17T02:59:26+00:00,C_verbose,retail,0.556,1,3,3,"The briefing includes retail‑friendly explanations but retains considerable technical jargon and length, making it acceptable but not tightly tailored or concise.",0.909,4988
6605200b,2026-05-17T03:00:46+00:00,C_verbose,retail,0.545,1,4,4,"The briefing uses mostly plain language and clear takeaways suitable for retail readers, and while detailed, it stays focused without unnecessary filler.",0.909,5189
748baebe,2026-05-17T03:01:33+00:00,C_verbose,retail,0.545,1,4,3,"The briefing explains technical concepts with plain language and relatable analogies appropriate for retail readers, but its length and detail keep it only moderately concise.",0.909,4525
27278ce8,2026-05-17T03:02:55+00:00,C_verbose,retail,0.522,1,4,3,"The briefing mostly avoids specialist jargon and explains concepts for a retail audience, though some technical terms remain, and it is detailed but not overly verbose, making it acceptable though not maximally concise.",0.909,5934
62d689ff,2026-05-17T03:04:07+00:00,C_verbose,retail,0.667,1,2,2,"The briefing uses abundant technical jargon and detailed metric explanations that exceed a typical retail reader's comfort while also stretching over many repetitive paragraphs, making it both poorly matched to the audience and overly verbose.",1.0,4163
ea873092,2026-05-17T03:05:25+00:00,C_verbose,retail,0.542,1,4,3,"The brief explains technical concepts in plain terms suitable for retail readers, but its length and detail make it only moderately concise.",0.909,3968
19232bf0,2026-05-17T03:06:28+00:00,C_verbose,retail,0.632,1,3,2,"The briefing is acceptable for retail (3) as it adds plain‑language explanations to technical metrics but remains somewhat jargon‑heavy, and it is verbose (2) because of its length and multiple filler sections.",1.0,5346
cf3bcc1c,2026-05-17T03:07:35+00:00,C_verbose,retail,0.684,1,3,2,"The briefing explains key points in plain language but still leans on technical metrics and length, making it acceptable for retail but somewhat verbose.",1.0,4660
e4af1542,2026-05-17T03:08:34+00:00,C_verbose,retail,0.684,1,4,3,"The brief uses mostly plain language and helpful analogies suitable for retail readers, but its length and detailed sections make it only moderately concise.",1.0,6611
0cbd39fe,2026-05-17T03:09:51+00:00,C_verbose,retail,0.565,1,2,2,"The briefing is overly technical for a retail audience and contains excessive detail, making it poorly matched and somewhat verbose.",0.909,4801
